date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,EG,Egypt,EMRO,0,0,0,0
04-01-2020,EG,Egypt,EMRO,0,0,0,0
05-01-2020,EG,Egypt,EMRO,0,0,0,0
06-01-2020,EG,Egypt,EMRO,0,0,0,0
07-01-2020,EG,Egypt,EMRO,0,0,0,0
08-01-2020,EG,Egypt,EMRO,0,0,0,0
09-01-2020,EG,Egypt,EMRO,0,0,0,0
10-01-2020,EG,Egypt,EMRO,0,0,0,0
11-01-2020,EG,Egypt,EMRO,0,0,0,0
12-01-2020,EG,Egypt,EMRO,0,0,0,0
13-01-2020,EG,Egypt,EMRO,0,0,0,0
14-01-2020,EG,Egypt,EMRO,0,0,0,0
15-01-2020,EG,Egypt,EMRO,0,0,0,0
16-01-2020,EG,Egypt,EMRO,0,0,0,0
17-01-2020,EG,Egypt,EMRO,0,0,0,0
18-01-2020,EG,Egypt,EMRO,0,0,0,0
19-01-2020,EG,Egypt,EMRO,0,0,0,0
20-01-2020,EG,Egypt,EMRO,0,0,0,0
21-01-2020,EG,Egypt,EMRO,0,0,0,0
22-01-2020,EG,Egypt,EMRO,0,0,0,0
23-01-2020,EG,Egypt,EMRO,0,0,0,0
24-01-2020,EG,Egypt,EMRO,0,0,0,0
25-01-2020,EG,Egypt,EMRO,0,0,0,0
26-01-2020,EG,Egypt,EMRO,0,0,0,0
27-01-2020,EG,Egypt,EMRO,0,0,0,0
28-01-2020,EG,Egypt,EMRO,0,0,0,0
29-01-2020,EG,Egypt,EMRO,0,0,0,0
30-01-2020,EG,Egypt,EMRO,0,0,0,0
31-01-2020,EG,Egypt,EMRO,0,0,0,0
01-02-2020,EG,Egypt,EMRO,0,0,0,0
02-02-2020,EG,Egypt,EMRO,0,0,0,0
03-02-2020,EG,Egypt,EMRO,0,0,0,0
04-02-2020,EG,Egypt,EMRO,0,0,0,0
05-02-2020,EG,Egypt,EMRO,0,0,0,0
06-02-2020,EG,Egypt,EMRO,0,0,0,0
07-02-2020,EG,Egypt,EMRO,0,0,0,0
08-02-2020,EG,Egypt,EMRO,0,0,0,0
09-02-2020,EG,Egypt,EMRO,0,0,0,0
10-02-2020,EG,Egypt,EMRO,0,0,0,0
11-02-2020,EG,Egypt,EMRO,0,0,0,0
12-02-2020,EG,Egypt,EMRO,0,0,0,0
13-02-2020,EG,Egypt,EMRO,0,0,0,0
14-02-2020,EG,Egypt,EMRO,5,5,0,0
15-02-2020,EG,Egypt,EMRO,0,5,0,0
16-02-2020,EG,Egypt,EMRO,0,5,0,0
17-02-2020,EG,Egypt,EMRO,0,5,0,0
18-02-2020,EG,Egypt,EMRO,0,5,0,0
19-02-2020,EG,Egypt,EMRO,0,5,0,0
20-02-2020,EG,Egypt,EMRO,0,5,0,0
21-02-2020,EG,Egypt,EMRO,0,5,0,0
22-02-2020,EG,Egypt,EMRO,0,5,0,0
23-02-2020,EG,Egypt,EMRO,0,5,0,0
24-02-2020,EG,Egypt,EMRO,0,5,0,0
25-02-2020,EG,Egypt,EMRO,0,5,0,0
26-02-2020,EG,Egypt,EMRO,0,5,0,0
27-02-2020,EG,Egypt,EMRO,0,5,0,0
28-02-2020,EG,Egypt,EMRO,0,5,0,0
29-02-2020,EG,Egypt,EMRO,0,5,0,0
01-03-2020,EG,Egypt,EMRO,0,5,0,0
02-03-2020,EG,Egypt,EMRO,1,6,0,0
03-03-2020,EG,Egypt,EMRO,0,6,0,0
04-03-2020,EG,Egypt,EMRO,0,6,0,0
05-03-2020,EG,Egypt,EMRO,1,7,0,0
06-03-2020,EG,Egypt,EMRO,0,7,0,0
07-03-2020,EG,Egypt,EMRO,12,19,0,0
08-03-2020,EG,Egypt,EMRO,34,53,1,1
09-03-2020,EG,Egypt,EMRO,6,59,0,1
10-03-2020,EG,Egypt,EMRO,4,63,0,1
11-03-2020,EG,Egypt,EMRO,8,71,0,1
12-03-2020,EG,Egypt,EMRO,0,71,0,1
13-03-2020,EG,Egypt,EMRO,0,71,0,1
14-03-2020,EG,Egypt,EMRO,26,97,1,2
15-03-2020,EG,Egypt,EMRO,17,114,0,2
16-03-2020,EG,Egypt,EMRO,16,130,0,2
17-03-2020,EG,Egypt,EMRO,40,170,2,4
18-03-2020,EG,Egypt,EMRO,30,200,2,6
19-03-2020,EG,Egypt,EMRO,14,214,0,6
20-03-2020,EG,Egypt,EMRO,42,256,1,7
21-03-2020,EG,Egypt,EMRO,29,285,1,8
22-03-2020,EG,Egypt,EMRO,9,294,2,10
23-03-2020,EG,Egypt,EMRO,33,327,4,14
24-03-2020,EG,Egypt,EMRO,39,366,5,19
25-03-2020,EG,Egypt,EMRO,36,402,1,20
26-03-2020,EG,Egypt,EMRO,54,456,1,21
27-03-2020,EG,Egypt,EMRO,39,495,3,24
28-03-2020,EG,Egypt,EMRO,41,536,6,30
29-03-2020,EG,Egypt,EMRO,40,576,6,36
30-03-2020,EG,Egypt,EMRO,33,609,4,40
31-03-2020,EG,Egypt,EMRO,47,656,1,41
01-04-2020,EG,Egypt,EMRO,54,710,5,46
02-04-2020,EG,Egypt,EMRO,69,779,6,52
03-04-2020,EG,Egypt,EMRO,86,865,6,58
04-04-2020,EG,Egypt,EMRO,120,985,8,66
05-04-2020,EG,Egypt,EMRO,85,1070,5,71
06-04-2020,EG,Egypt,EMRO,103,1173,7,78
07-04-2020,EG,Egypt,EMRO,149,1322,7,85
08-04-2020,EG,Egypt,EMRO,128,1450,9,94
09-04-2020,EG,Egypt,EMRO,110,1560,9,103
10-04-2020,EG,Egypt,EMRO,139,1699,15,118
11-04-2020,EG,Egypt,EMRO,95,1794,17,135
12-04-2020,EG,Egypt,EMRO,145,1939,11,146
13-04-2020,EG,Egypt,EMRO,126,2065,13,159
14-04-2020,EG,Egypt,EMRO,125,2190,5,164
15-04-2020,EG,Egypt,EMRO,160,2350,14,178
16-04-2020,EG,Egypt,EMRO,155,2505,5,183
17-04-2020,EG,Egypt,EMRO,168,2673,13,196
18-04-2020,EG,Egypt,EMRO,171,2844,9,205
19-04-2020,EG,Egypt,EMRO,188,3032,19,224
20-04-2020,EG,Egypt,EMRO,112,3144,15,239
21-04-2020,EG,Egypt,EMRO,189,3333,11,250
22-04-2020,EG,Egypt,EMRO,157,3490,14,264
23-04-2020,EG,Egypt,EMRO,169,3659,12,276
24-04-2020,EG,Egypt,EMRO,232,3891,11,287
25-04-2020,EG,Egypt,EMRO,201,4092,7,294
26-04-2020,EG,Egypt,EMRO,227,4319,13,307
27-04-2020,EG,Egypt,EMRO,215,4534,10,317
28-04-2020,EG,Egypt,EMRO,248,4782,20,337
29-04-2020,EG,Egypt,EMRO,260,5042,22,359
30-04-2020,EG,Egypt,EMRO,226,5268,21,380
01-05-2020,EG,Egypt,EMRO,269,5537,12,392
02-05-2020,EG,Egypt,EMRO,358,5895,14,406
03-05-2020,EG,Egypt,EMRO,298,6193,9,415
04-05-2020,EG,Egypt,EMRO,272,6465,14,429
05-05-2020,EG,Egypt,EMRO,348,6813,7,436
06-05-2020,EG,Egypt,EMRO,388,7201,16,452
07-05-2020,EG,Egypt,EMRO,387,7588,17,469
08-05-2020,EG,Egypt,EMRO,393,7981,13,482
09-05-2020,EG,Egypt,EMRO,495,8476,21,503
10-05-2020,EG,Egypt,EMRO,488,8964,11,514
11-05-2020,EG,Egypt,EMRO,436,9400,11,525
12-05-2020,EG,Egypt,EMRO,346,9746,8,533
13-05-2020,EG,Egypt,EMRO,347,10093,11,544
14-05-2020,EG,Egypt,EMRO,338,10431,12,556
15-05-2020,EG,Egypt,EMRO,398,10829,15,571
16-05-2020,EG,Egypt,EMRO,399,11228,21,592
17-05-2020,EG,Egypt,EMRO,491,11719,20,612
18-05-2020,EG,Egypt,EMRO,510,12229,18,630
19-05-2020,EG,Egypt,EMRO,535,12764,15,645
20-05-2020,EG,Egypt,EMRO,720,13484,14,659
21-05-2020,EG,Egypt,EMRO,745,14229,21,680
22-05-2020,EG,Egypt,EMRO,774,15003,16,696
23-05-2020,EG,Egypt,EMRO,783,15786,11,707
24-05-2020,EG,Egypt,EMRO,727,16513,28,735
25-05-2020,EG,Egypt,EMRO,752,17265,29,764
26-05-2020,EG,Egypt,EMRO,702,17967,19,783
27-05-2020,EG,Egypt,EMRO,789,18756,14,797
28-05-2020,EG,Egypt,EMRO,910,19666,19,816
29-05-2020,EG,Egypt,EMRO,1127,20793,29,845
30-05-2020,EG,Egypt,EMRO,1289,22082,34,879
31-05-2020,EG,Egypt,EMRO,1367,23449,34,913
01-06-2020,EG,Egypt,EMRO,1536,24985,46,959
02-06-2020,EG,Egypt,EMRO,1399,26384,46,1005
03-06-2020,EG,Egypt,EMRO,1152,27536,47,1052
04-06-2020,EG,Egypt,EMRO,1079,28615,36,1088
05-06-2020,EG,Egypt,EMRO,1152,29767,38,1126
06-06-2020,EG,Egypt,EMRO,1348,31115,40,1166
07-06-2020,EG,Egypt,EMRO,1497,32612,32,1198
08-06-2020,EG,Egypt,EMRO,1467,34079,39,1237
09-06-2020,EG,Egypt,EMRO,1365,35444,34,1271
10-06-2020,EG,Egypt,EMRO,1385,36829,35,1306
11-06-2020,EG,Egypt,EMRO,1455,38284,36,1342
12-06-2020,EG,Egypt,EMRO,1442,39726,35,1377
13-06-2020,EG,Egypt,EMRO,1577,41303,45,1422
14-06-2020,EG,Egypt,EMRO,1677,42980,62,1484
15-06-2020,EG,Egypt,EMRO,1618,44598,91,1575
16-06-2020,EG,Egypt,EMRO,1691,46289,97,1672
17-06-2020,EG,Egypt,EMRO,1567,47856,94,1766
18-06-2020,EG,Egypt,EMRO,1363,49219,84,1850
19-06-2020,EG,Egypt,EMRO,1218,50437,88,1938
20-06-2020,EG,Egypt,EMRO,1774,52211,79,2017
21-06-2020,EG,Egypt,EMRO,1547,53758,89,2106
22-06-2020,EG,Egypt,EMRO,1475,55233,87,2193
23-06-2020,EG,Egypt,EMRO,1576,56809,85,2278
24-06-2020,EG,Egypt,EMRO,1332,58141,87,2365
25-06-2020,EG,Egypt,EMRO,1420,59561,85,2450
26-06-2020,EG,Egypt,EMRO,1569,61130,83,2533
27-06-2020,EG,Egypt,EMRO,1625,62755,87,2620
28-06-2020,EG,Egypt,EMRO,1168,63923,88,2708
29-06-2020,EG,Egypt,EMRO,1265,65188,81,2789
30-06-2020,EG,Egypt,EMRO,1566,66754,83,2872
01-07-2020,EG,Egypt,EMRO,1557,68311,81,2953
02-07-2020,EG,Egypt,EMRO,1503,69814,81,3034
03-07-2020,EG,Egypt,EMRO,1485,71299,86,3120
04-07-2020,EG,Egypt,EMRO,1412,72711,81,3201
