date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,DE,Germany,EURO,0,0,0,0
04-01-2020,DE,Germany,EURO,0,0,0,0
05-01-2020,DE,Germany,EURO,0,0,0,0
06-01-2020,DE,Germany,EURO,0,0,0,0
07-01-2020,DE,Germany,EURO,0,0,0,0
08-01-2020,DE,Germany,EURO,0,0,0,0
09-01-2020,DE,Germany,EURO,0,0,0,0
10-01-2020,DE,Germany,EURO,0,0,0,0
11-01-2020,DE,Germany,EURO,0,0,0,0
12-01-2020,DE,Germany,EURO,0,0,0,0
13-01-2020,DE,Germany,EURO,0,0,0,0
14-01-2020,DE,Germany,EURO,0,0,0,0
15-01-2020,DE,Germany,EURO,0,0,0,0
16-01-2020,DE,Germany,EURO,0,0,0,0
17-01-2020,DE,Germany,EURO,0,0,0,0
18-01-2020,DE,Germany,EURO,0,0,0,0
19-01-2020,DE,Germany,EURO,0,0,0,0
20-01-2020,DE,Germany,EURO,0,0,0,0
21-01-2020,DE,Germany,EURO,0,0,0,0
22-01-2020,DE,Germany,EURO,0,0,0,0
23-01-2020,DE,Germany,EURO,0,0,0,0
24-01-2020,DE,Germany,EURO,0,0,0,0
25-01-2020,DE,Germany,EURO,0,0,0,0
26-01-2020,DE,Germany,EURO,0,0,0,0
27-01-2020,DE,Germany,EURO,0,0,0,0
28-01-2020,DE,Germany,EURO,1,1,0,0
29-01-2020,DE,Germany,EURO,3,4,0,0
30-01-2020,DE,Germany,EURO,0,4,0,0
31-01-2020,DE,Germany,EURO,1,5,0,0
01-02-2020,DE,Germany,EURO,2,7,0,0
02-02-2020,DE,Germany,EURO,1,8,0,0
03-02-2020,DE,Germany,EURO,1,9,0,0
04-02-2020,DE,Germany,EURO,2,11,0,0
05-02-2020,DE,Germany,EURO,0,11,0,0
06-02-2020,DE,Germany,EURO,0,11,0,0
07-02-2020,DE,Germany,EURO,1,12,0,0
08-02-2020,DE,Germany,EURO,1,13,0,0
09-02-2020,DE,Germany,EURO,0,13,0,0
10-02-2020,DE,Germany,EURO,0,13,0,0
11-02-2020,DE,Germany,EURO,0,13,0,0
12-02-2020,DE,Germany,EURO,2,15,0,0
13-02-2020,DE,Germany,EURO,0,15,0,0
14-02-2020,DE,Germany,EURO,0,15,0,0
15-02-2020,DE,Germany,EURO,0,15,0,0
16-02-2020,DE,Germany,EURO,0,15,0,0
17-02-2020,DE,Germany,EURO,0,15,0,0
18-02-2020,DE,Germany,EURO,0,15,0,0
19-02-2020,DE,Germany,EURO,0,15,0,0
20-02-2020,DE,Germany,EURO,0,15,0,0
21-02-2020,DE,Germany,EURO,0,15,0,0
22-02-2020,DE,Germany,EURO,0,15,0,0
23-02-2020,DE,Germany,EURO,0,15,0,0
24-02-2020,DE,Germany,EURO,0,15,0,0
25-02-2020,DE,Germany,EURO,0,15,0,0
26-02-2020,DE,Germany,EURO,2,17,0,0
27-02-2020,DE,Germany,EURO,4,21,0,0
28-02-2020,DE,Germany,EURO,26,47,0,0
29-02-2020,DE,Germany,EURO,10,57,0,0
01-03-2020,DE,Germany,EURO,54,111,0,0
02-03-2020,DE,Germany,EURO,18,129,0,0
03-03-2020,DE,Germany,EURO,28,157,0,0
04-03-2020,DE,Germany,EURO,39,196,0,0
05-03-2020,DE,Germany,EURO,66,262,0,0
06-03-2020,DE,Germany,EURO,138,400,0,0
07-03-2020,DE,Germany,EURO,284,684,0,0
08-03-2020,DE,Germany,EURO,163,847,0,0
09-03-2020,DE,Germany,EURO,55,902,0,0
10-03-2020,DE,Germany,EURO,237,1139,2,2
11-03-2020,DE,Germany,EURO,157,1296,0,2
12-03-2020,DE,Germany,EURO,271,1567,1,3
13-03-2020,DE,Germany,EURO,802,2369,2,5
14-03-2020,DE,Germany,EURO,693,3062,0,5
15-03-2020,DE,Germany,EURO,733,3795,3,8
16-03-2020,DE,Germany,EURO,1043,4838,4,12
17-03-2020,DE,Germany,EURO,1174,6012,1,13
18-03-2020,DE,Germany,EURO,1144,7156,0,13
19-03-2020,DE,Germany,EURO,1042,8198,0,13
20-03-2020,DE,Germany,EURO,5940,14138,30,43
21-03-2020,DE,Germany,EURO,4049,18187,2,45
22-03-2020,DE,Germany,EURO,3276,21463,22,67
23-03-2020,DE,Germany,EURO,3311,24774,27,94
24-03-2020,DE,Germany,EURO,4438,29212,32,126
25-03-2020,DE,Germany,EURO,2342,31554,23,149
26-03-2020,DE,Germany,EURO,4954,36508,49,198
27-03-2020,DE,Germany,EURO,5780,42288,55,253
28-03-2020,DE,Germany,EURO,6294,48582,72,325
29-03-2020,DE,Germany,EURO,3965,52547,64,389
30-03-2020,DE,Germany,EURO,4751,57298,66,455
31-03-2020,DE,Germany,EURO,4615,61913,128,583
01-04-2020,DE,Germany,EURO,5453,67366,149,732
02-04-2020,DE,Germany,EURO,6156,73522,140,872
03-04-2020,DE,Germany,EURO,6174,79696,145,1017
04-04-2020,DE,Germany,EURO,6082,85778,141,1158
05-04-2020,DE,Germany,EURO,5936,91714,184,1342
06-04-2020,DE,Germany,EURO,3677,95391,92,1434
07-04-2020,DE,Germany,EURO,3834,99225,173,1607
08-04-2020,DE,Germany,EURO,4003,103228,254,1861
09-04-2020,DE,Germany,EURO,4974,108202,246,2107
10-04-2020,DE,Germany,EURO,5323,113525,266,2373
11-04-2020,DE,Germany,EURO,4133,117658,171,2544
12-04-2020,DE,Germany,EURO,2821,120479,129,2673
13-04-2020,DE,Germany,EURO,2537,123016,126,2799
14-04-2020,DE,Germany,EURO,2082,125098,170,2969
15-04-2020,DE,Germany,EURO,2486,127584,285,3254
16-04-2020,DE,Germany,EURO,2866,130450,315,3569
17-04-2020,DE,Germany,EURO,3380,133830,299,3868
18-04-2020,DE,Germany,EURO,3609,137439,242,4110
19-04-2020,DE,Germany,EURO,2458,139897,184,4294
20-04-2020,DE,Germany,EURO,1775,141672,110,4404
21-04-2020,DE,Germany,EURO,1785,143457,194,4598
22-04-2020,DE,Germany,EURO,2237,145694,281,4879
23-04-2020,DE,Germany,EURO,2352,148046,215,5094
24-04-2020,DE,Germany,EURO,2337,150383,227,5321
25-04-2020,DE,Germany,EURO,2055,152438,179,5500
26-04-2020,DE,Germany,EURO,1737,154175,140,5640
27-04-2020,DE,Germany,EURO,1018,155193,110,5750
28-04-2020,DE,Germany,EURO,1144,156337,163,5913
29-04-2020,DE,Germany,EURO,1304,157641,202,6115
30-04-2020,DE,Germany,EURO,1478,159119,173,6288
01-05-2020,DE,Germany,EURO,1639,160758,193,6481
02-05-2020,DE,Germany,EURO,945,161703,94,6575
03-05-2020,DE,Germany,EURO,793,162496,74,6649
04-05-2020,DE,Germany,EURO,679,163175,43,6692
05-05-2020,DE,Germany,EURO,685,163860,139,6831
06-05-2020,DE,Germany,EURO,947,164807,165,6996
07-05-2020,DE,Germany,EURO,1284,166091,123,7119
08-05-2020,DE,Germany,EURO,1209,167300,147,7266
09-05-2020,DE,Germany,EURO,1251,168551,103,7369
10-05-2020,DE,Germany,EURO,667,169218,26,7395
11-05-2020,DE,Germany,EURO,357,169575,22,7417
12-05-2020,DE,Germany,EURO,933,170508,116,7533
13-05-2020,DE,Germany,EURO,798,171306,101,7634
14-05-2020,DE,Germany,EURO,933,172239,89,7723
15-05-2020,DE,Germany,EURO,913,173152,101,7824
16-05-2020,DE,Germany,EURO,620,173772,57,7881
17-05-2020,DE,Germany,EURO,583,174355,33,7914
18-05-2020,DE,Germany,EURO,342,174697,21,7935
19-05-2020,DE,Germany,EURO,513,175210,72,8007
20-05-2020,DE,Germany,EURO,797,176007,83,8090
21-05-2020,DE,Germany,EURO,745,176752,57,8147
22-05-2020,DE,Germany,EURO,460,177212,27,8174
23-05-2020,DE,Germany,EURO,638,177850,42,8216
24-05-2020,DE,Germany,EURO,431,178281,31,8247
25-05-2020,DE,Germany,EURO,289,178570,10,8257
26-05-2020,DE,Germany,EURO,432,179002,45,8302
27-05-2020,DE,Germany,EURO,362,179364,47,8349
28-05-2020,DE,Germany,EURO,353,179717,62,8411
29-05-2020,DE,Germany,EURO,741,180458,39,8450
30-05-2020,DE,Germany,EURO,738,181196,39,8489
31-05-2020,DE,Germany,EURO,286,181482,11,8500
01-06-2020,DE,Germany,EURO,333,181815,11,8511
02-06-2020,DE,Germany,EURO,213,182028,11,8522
03-06-2020,DE,Germany,EURO,342,182370,29,8551
04-06-2020,DE,Germany,EURO,394,182764,30,8581
05-06-2020,DE,Germany,EURO,507,183271,32,8613
06-06-2020,DE,Germany,EURO,407,183678,33,8646
07-06-2020,DE,Germany,EURO,301,183979,22,8668
08-06-2020,DE,Germany,EURO,214,184193,6,8674
09-06-2020,DE,Germany,EURO,350,184543,37,8711
10-06-2020,DE,Germany,EURO,318,184861,18,8729
11-06-2020,DE,Germany,EURO,555,185416,26,8755
12-06-2020,DE,Germany,EURO,258,185674,8,8763
