date_reported,country_code,country,who_region,new_cases,cumulative_cases,new_deaths,cumulative_deaths
03-01-2020,MK,North Macedonia,EURO,0,0,0,0
04-01-2020,MK,North Macedonia,EURO,0,0,0,0
05-01-2020,MK,North Macedonia,EURO,0,0,0,0
06-01-2020,MK,North Macedonia,EURO,0,0,0,0
07-01-2020,MK,North Macedonia,EURO,0,0,0,0
08-01-2020,MK,North Macedonia,EURO,0,0,0,0
09-01-2020,MK,North Macedonia,EURO,0,0,0,0
10-01-2020,MK,North Macedonia,EURO,0,0,0,0
11-01-2020,MK,North Macedonia,EURO,0,0,0,0
12-01-2020,MK,North Macedonia,EURO,0,0,0,0
13-01-2020,MK,North Macedonia,EURO,0,0,0,0
14-01-2020,MK,North Macedonia,EURO,0,0,0,0
15-01-2020,MK,North Macedonia,EURO,0,0,0,0
16-01-2020,MK,North Macedonia,EURO,0,0,0,0
17-01-2020,MK,North Macedonia,EURO,0,0,0,0
18-01-2020,MK,North Macedonia,EURO,0,0,0,0
19-01-2020,MK,North Macedonia,EURO,0,0,0,0
20-01-2020,MK,North Macedonia,EURO,0,0,0,0
21-01-2020,MK,North Macedonia,EURO,0,0,0,0
22-01-2020,MK,North Macedonia,EURO,0,0,0,0
23-01-2020,MK,North Macedonia,EURO,0,0,0,0
24-01-2020,MK,North Macedonia,EURO,0,0,0,0
25-01-2020,MK,North Macedonia,EURO,0,0,0,0
26-01-2020,MK,North Macedonia,EURO,0,0,0,0
27-01-2020,MK,North Macedonia,EURO,0,0,0,0
28-01-2020,MK,North Macedonia,EURO,0,0,0,0
29-01-2020,MK,North Macedonia,EURO,0,0,0,0
30-01-2020,MK,North Macedonia,EURO,0,0,0,0
31-01-2020,MK,North Macedonia,EURO,0,0,0,0
01-02-2020,MK,North Macedonia,EURO,0,0,0,0
02-02-2020,MK,North Macedonia,EURO,0,0,0,0
03-02-2020,MK,North Macedonia,EURO,0,0,0,0
04-02-2020,MK,North Macedonia,EURO,0,0,0,0
05-02-2020,MK,North Macedonia,EURO,0,0,0,0
06-02-2020,MK,North Macedonia,EURO,0,0,0,0
07-02-2020,MK,North Macedonia,EURO,0,0,0,0
08-02-2020,MK,North Macedonia,EURO,0,0,0,0
09-02-2020,MK,North Macedonia,EURO,0,0,0,0
10-02-2020,MK,North Macedonia,EURO,0,0,0,0
11-02-2020,MK,North Macedonia,EURO,0,0,0,0
12-02-2020,MK,North Macedonia,EURO,0,0,0,0
13-02-2020,MK,North Macedonia,EURO,0,0,0,0
14-02-2020,MK,North Macedonia,EURO,0,0,0,0
15-02-2020,MK,North Macedonia,EURO,0,0,0,0
16-02-2020,MK,North Macedonia,EURO,0,0,0,0
17-02-2020,MK,North Macedonia,EURO,0,0,0,0
18-02-2020,MK,North Macedonia,EURO,0,0,0,0
19-02-2020,MK,North Macedonia,EURO,0,0,0,0
20-02-2020,MK,North Macedonia,EURO,0,0,0,0
21-02-2020,MK,North Macedonia,EURO,0,0,0,0
22-02-2020,MK,North Macedonia,EURO,0,0,0,0
23-02-2020,MK,North Macedonia,EURO,0,0,0,0
24-02-2020,MK,North Macedonia,EURO,0,0,0,0
25-02-2020,MK,North Macedonia,EURO,0,0,0,0
26-02-2020,MK,North Macedonia,EURO,1,1,0,0
27-02-2020,MK,North Macedonia,EURO,0,1,0,0
28-02-2020,MK,North Macedonia,EURO,0,1,0,0
29-02-2020,MK,North Macedonia,EURO,0,1,0,0
01-03-2020,MK,North Macedonia,EURO,0,1,0,0
02-03-2020,MK,North Macedonia,EURO,0,1,0,0
03-03-2020,MK,North Macedonia,EURO,0,1,0,0
04-03-2020,MK,North Macedonia,EURO,0,1,0,0
05-03-2020,MK,North Macedonia,EURO,0,1,0,0
06-03-2020,MK,North Macedonia,EURO,0,1,0,0
07-03-2020,MK,North Macedonia,EURO,2,3,0,0
08-03-2020,MK,North Macedonia,EURO,0,3,0,0
09-03-2020,MK,North Macedonia,EURO,0,3,0,0
10-03-2020,MK,North Macedonia,EURO,1,4,0,0
11-03-2020,MK,North Macedonia,EURO,3,7,0,0
12-03-2020,MK,North Macedonia,EURO,0,7,0,0
13-03-2020,MK,North Macedonia,EURO,0,7,0,0
14-03-2020,MK,North Macedonia,EURO,2,9,0,0
15-03-2020,MK,North Macedonia,EURO,4,13,0,0
16-03-2020,MK,North Macedonia,EURO,0,13,0,0
17-03-2020,MK,North Macedonia,EURO,6,19,0,0
18-03-2020,MK,North Macedonia,EURO,12,31,0,0
19-03-2020,MK,North Macedonia,EURO,4,35,0,0
20-03-2020,MK,North Macedonia,EURO,13,48,0,0
21-03-2020,MK,North Macedonia,EURO,37,85,0,0
22-03-2020,MK,North Macedonia,EURO,29,114,0,0
23-03-2020,MK,North Macedonia,EURO,22,136,2,2
24-03-2020,MK,North Macedonia,EURO,12,148,0,2
25-03-2020,MK,North Macedonia,EURO,29,177,0,2
26-03-2020,MK,North Macedonia,EURO,24,201,1,3
27-03-2020,MK,North Macedonia,EURO,18,219,0,3
28-03-2020,MK,North Macedonia,EURO,22,241,1,4
29-03-2020,MK,North Macedonia,EURO,0,241,0,4
30-03-2020,MK,North Macedonia,EURO,44,285,3,7
31-03-2020,MK,North Macedonia,EURO,44,329,2,9
01-04-2020,MK,North Macedonia,EURO,25,354,2,11
02-04-2020,MK,North Macedonia,EURO,0,354,0,11
03-04-2020,MK,North Macedonia,EURO,30,384,0,11
04-04-2020,MK,North Macedonia,EURO,46,430,1,12
05-04-2020,MK,North Macedonia,EURO,53,483,5,17
06-04-2020,MK,North Macedonia,EURO,72,555,1,18
07-04-2020,MK,North Macedonia,EURO,15,570,3,21
08-04-2020,MK,North Macedonia,EURO,29,599,6,27
09-04-2020,MK,North Macedonia,EURO,18,617,3,30
10-04-2020,MK,North Macedonia,EURO,46,663,0,30
11-04-2020,MK,North Macedonia,EURO,48,711,2,32
12-04-2020,MK,North Macedonia,EURO,117,828,2,34
13-04-2020,MK,North Macedonia,EURO,0,828,0,34
14-04-2020,MK,North Macedonia,EURO,26,854,4,38
15-04-2020,MK,North Macedonia,EURO,54,908,6,44
16-04-2020,MK,North Macedonia,EURO,66,974,1,45
17-04-2020,MK,North Macedonia,EURO,107,1081,1,46
18-04-2020,MK,North Macedonia,EURO,36,1117,3,49
19-04-2020,MK,North Macedonia,EURO,53,1170,0,49
20-04-2020,MK,North Macedonia,EURO,37,1207,2,51
21-04-2020,MK,North Macedonia,EURO,18,1225,3,54
22-04-2020,MK,North Macedonia,EURO,6,1231,1,55
23-04-2020,MK,North Macedonia,EURO,28,1259,1,56
24-04-2020,MK,North Macedonia,EURO,41,1300,0,56
25-04-2020,MK,North Macedonia,EURO,26,1326,1,57
26-04-2020,MK,North Macedonia,EURO,41,1367,2,59
27-04-2020,MK,North Macedonia,EURO,19,1386,2,61
28-04-2020,MK,North Macedonia,EURO,13,1399,4,65
29-04-2020,MK,North Macedonia,EURO,22,1421,6,71
30-04-2020,MK,North Macedonia,EURO,21,1442,2,73
01-05-2020,MK,North Macedonia,EURO,23,1465,4,77
02-05-2020,MK,North Macedonia,EURO,29,1494,4,81
03-05-2020,MK,North Macedonia,EURO,12,1506,1,82
04-05-2020,MK,North Macedonia,EURO,5,1511,2,84
05-05-2020,MK,North Macedonia,EURO,7,1518,1,85
06-05-2020,MK,North Macedonia,EURO,8,1526,1,86
07-05-2020,MK,North Macedonia,EURO,13,1539,2,88
08-05-2020,MK,North Macedonia,EURO,33,1572,1,89
09-05-2020,MK,North Macedonia,EURO,14,1586,1,90
10-05-2020,MK,North Macedonia,EURO,36,1622,1,91
11-05-2020,MK,North Macedonia,EURO,20,1642,0,91
12-05-2020,MK,North Macedonia,EURO,22,1664,0,91
13-05-2020,MK,North Macedonia,EURO,10,1674,1,92
14-05-2020,MK,North Macedonia,EURO,20,1694,3,95
