tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI
02-03-2020,1,0,0,1,1,0,0,1
03-03-2020,0,0,0,0,1,0,0,1
04-03-2020,0,0,0,0,1,0,0,1
05-03-2020,0,0,0,0,1,0,0,1
06-03-2020,0,0,0,0,1,0,0,1
07-03-2020,0,0,0,0,1,0,0,1
08-03-2020,0,0,0,0,1,0,0,1
09-03-2020,0,0,0,0,1,0,0,1
10-03-2020,0,0,0,0,1,0,0,1
11-03-2020,0,0,0,0,1,0,0,1
12-03-2020,0,0,0,0,1,0,0,1
13-03-2020,0,0,0,0,1,0,0,1
14-03-2020,0,0,0,0,1,0,0,1
15-03-2020,0,0,0,0,1,0,0,1
16-03-2020,0,0,0,0,1,0,0,1
17-03-2020,0,0,0,0,1,0,0,1
18-03-2020,0,0,0,0,1,0,0,1
19-03-2020,0,0,0,0,1,0,0,1
20-03-2020,0,0,0,0,1,0,0,1
21-03-2020,0,0,0,0,1,0,0,1
22-03-2020,0,0,0,0,1,0,0,1
23-03-2020,0,0,0,0,1,0,0,1
24-03-2020,0,0,0,0,1,0,0,1
25-03-2020,0,0,0,0,1,0,0,1
26-03-2020,0,0,0,0,1,0,0,1
27-03-2020,0,0,0,0,1,0,0,1
28-03-2020,0,0,0,0,1,0,0,1
29-03-2020,1,0,0,1,2,0,0,2
30-03-2020,1,0,0,1,3,0,0,3
31-03-2020,0,0,0,0,3,0,0,3
01-04-2020,0,1,0,-1,3,0,1,2
02-04-2020,4,0,0,4,7,0,1,6
03-04-2020,2,0,0,2,9,0,1,8
04-04-2020,0,0,1,-1,9,1,1,7
05-04-2020,1,1,0,0,10,1,2,7
06-04-2020,1,0,0,1,11,1,2,8
07-04-2020,0,0,0,0,11,1,2,8
08-04-2020,0,0,0,0,11,1,2,8
09-04-2020,1,1,0,0,12,1,3,8
10-04-2020,0,0,1,-1,12,2,3,7
11-04-2020,3,0,1,2,15,3,3,9
12-04-2020,0,0,0,0,15,3,3,9
13-04-2020,3,0,0,3,18,3,3,12
14-04-2020,0,0,0,0,18,3,3,12
15-04-2020,0,2,4,-6,18,7,5,6
16-04-2020,5,0,2,3,23,9,5,9
17-04-2020,1,0,0,1,24,9,5,10
18-04-2020,4,0,0,4,28,9,5,14
19-04-2020,0,0,0,0,28,9,5,14
20-04-2020,4,1,0,3,32,9,6,17
21-04-2020,1,0,0,1,33,9,6,18
22-04-2020,0,0,0,0,33,9,6,18
23-04-2020,1,0,3,-2,34,12,6,16
24-04-2020,0,0,1,-1,34,13,6,15
25-04-2020,2,0,1,1,36,14,6,16
26-04-2020,1,0,0,1,37,14,6,17
27-04-2020,0,0,1,-1,37,15,6,16
28-04-2020,1,0,0,1,38,15,6,17
29-04-2020,1,0,1,0,39,16,6,17
30-04-2020,1,0,7,-6,40,23,6,11
01-05-2020,1,0,1,0,41,24,6,11
02-05-2020,3,0,2,1,44,26,6,12
03-05-2020,8,0,0,8,52,26,6,20
04-05-2020,5,0,0,5,57,26,6,25
05-05-2020,3,0,1,2,60,27,6,27
06-05-2020,0,0,0,0,60,27,6,27
07-05-2020,5,0,0,5,65,27,6,32
08-05-2020,3,0,11,-8,68,38,6,24
09-05-2020,3,0,1,2,71,39,6,26
10-05-2020,2,0,7,-5,73,46,6,21
11-05-2020,1,0,3,-2,74,49,6,19
12-05-2020,7,0,0,7,81,49,6,26
13-05-2020,8,0,0,8,89,49,6,34
14-05-2020,5,0,0,5,94,49,6,39
15-05-2020,1,0,5,-4,95,54,6,35
16-05-2020,0,0,7,-7,95,61,6,28
17-05-2020,4,0,0,4,99,61,6,32
18-05-2020,2,0,2,0,101,63,6,32
19-05-2020,5,0,0,5,106,63,6,37
20-05-2020,1,0,1,0,107,64,6,37
21-05-2020,1,0,3,-2,108,67,6,35
22-05-2020,1,0,0,1,109,67,6,36
23-05-2020,1,0,0,1,110,67,6,37
24-05-2020,1,0,1,0,111,68,6,37
25-05-2020,0,0,1,-1,111,69,6,36
26-05-2020,0,0,9,-9,111,78,6,27
27-05-2020,0,0,0,0,111,78,6,27
28-05-2020,0,0,3,-3,111,81,6,24
29-05-2020,6,0,4,2,117,85,6,26
30-05-2020,0,0,1,-1,117,86,6,25
31-05-2020,0,0,3,-3,117,89,6,22
01-06-2020,0,0,1,-1,117,90,6,21
02-06-2020,0,0,3,-3,117,93,6,18
03-06-2020,0,0,4,-4,117,97,6,14
04-06-2020,0,0,2,-2,117,99,6,12
05-06-2020,0,0,2,-2,117,101,6,10
06-06-2020,1,0,0,1,118,101,6,11
07-06-2020,0,0,0,0,118,101,6,11
08-06-2020,0,0,6,-6,118,107,6,5
09-06-2020,2,0,0,2,120,107,6,7
10-06-2020,0,0,0,0,120,107,6,7
11-06-2020,0,0,1,-1,120,108,6,6
12-06-2020,0,0,1,-1,120,109,6,5
13-06-2020,5,0,0,5,125,109,6,10
14-06-2020,0,0,0,0,125,109,6,10
15-06-2020,1,1,2,-2,126,111,7,8
16-06-2020,0,0,1,-1,126,112,7,7
17-06-2020,1,0,1,0,127,113,7,7
18-06-2020,5,0,1,4,132,114,7,11
19-06-2020,8,0,0,8,140,114,7,19
20-06-2020,0,0,2,-2,140,116,7,17
21-06-2020,0,0,0,0,140,116,7,17
22-06-2020,18,0,1,17,158,117,7,34
23-06-2020,27,1,0,26,185,117,8,60
24-06-2020,18,0,3,15,203,120,8,75
25-06-2020,2,1,1,0,205,121,9,75
26-06-2020,2,0,0,2,207,121,9,77
27-06-2020,0,0,0,0,207,121,9,77
28-06-2020,1,0,15,-14,208,136,9,63
29-06-2020,1,0,23,-22,209,159,9,41
30-06-2020,0,0,8,-8,209,167,9,33
01-07-2020,0,0,2,-2,209,169,9,31
02-07-2020,1,0,9,-8,210,178,9,23
03-07-2020,3,0,8,-5,213,186,9,18
04-07-2020,1,0,4,-3,214,190,9,15
05-07-2020,1,0,3,-2,215,193,9,13
06-07-2020,1,1,2,-2,216,195,10,11
07-07-2020,1,0,1,0,217,196,10,11
08-07-2020,0,0,0,0,217,196,10,11
09-07-2020,2,0,1,1,219,197,10,12
10-07-2020,0,0,1,-1,219,198,10,11
11-07-2020,1,0,0,1,220,198,10,12
12-07-2020,1,0,1,0,221,199,10,12
13-07-2020,3,0,3,0,224,202,10,12
14-07-2020,3,0,0,3,227,202,10,15
15-07-2020,0,0,1,-1,227,203,10,14
